uwb_x	uwb_y	enc_x	enc_y	enc_t	gyro_x	gt_x	gt_y
1987	1876	64100	-690	-365	-38.51	1963.74	2024.9
1941	1876	64151	-690	-365	-38.35	1904.88	2028.84
1881	1885	64200	-691	-366	-38.78	1872.26	2031.14
1830	1907	64249	-691	-365	-39.18	1809.97	2041.31
1761	1909	64298	-692	-366	-39.48	1748.28	2057.02
1686	1908	64345	-693	-366	-39.89	1709.96	2063.3
1610	1925	64393	-694	-366	-39.26	1648.2	2066.66
1556	1939	64440	-695	-367	-39.37	1617.44	2077.65
1497	1928	64489	-693	-366	-39.81	1584.82	2087.36
1445	1927	64536	-693	-366	-39.75	1555.61	2091.05
1391	1924	64582	-694	-367	-39.84	1463.74	2090.38
1343	1926	64628	-695	-367	-39.89	1433.43	2088.39
1299	1922	64673	-695	-367	-39.98	1402.31	2091.29
1244	1928	64719	-695	-367	-40.09	1344.64	2090.46
1187	1968	64763	-695	-367	-39.69	1313.75	2097.49
1124	2003	64808	-695	-367	-39.32	1280.22	2127.84
1089	2021	64855	-693	-366	-39.25	1193.94	2155.77
1030	2038	64904	-692	-366	-39.29	1165.92	2166.92
985	2026	64951	-691	-366	-38.73	1108.39	2179.59
947	2045	64998	-691	-366	-38.63	1079.65	2179.79
900	2063	65045	-690	-365	-38.76	1048.27	2191.6
856	2079	65091	-690	-365	-38.34	989.297	2203.95
801	2088	65140	-690	-365	-39.09	958.099	2212.6
741	2095	65189	-689	-365	-39.13	926.007	2219.01
685	2100	65238	-690	-365	-38.98	837.641	2234.14
634	2109	65284	-690	-365	-39.04	806.196	2237.68
582	2111	65330	-690	-365	-38.71	743.519	2247.57
546	2118	65375	-690	-365	-37.75	709.194	2250.25
495	2127	65423	-689	-365	-35.68	676.86	2257.98
455	2136	65463	-689	-364	-32.24	617.393	2270.87
427	2146	65492	-695	-362	-27.9	585.542	2277.42
397	2160	65508	-702	-359	-21.04	530.534	2285.09
198	2037	65514	-706	-354	-16.68	468.346	2298.25
69	1969	65511	-705	-349	-11.46	394.29	2214.06
-16	1904	65512	-705	-343	-6.16	312.219	2218.88
-27	1984	65512	-703	-338	-0.06	260.622	2183.56
7	2077	65513	-705	-332	4.5	237.167	2230.58
43	2056	65513	-705	-327	9.64	253.849	2280.73
71	2148	65512	-705	-322	14.84	285.38	2271.49
85	2214	65512	-705	-317	21.01	305.694	2328.65
112	2258	65512	-705	-312	25.74	313.014	2346.48
119	2307	65511	-704	-306	31.33	329.434	2361.82
134	2347	65512	-703	-301	36.65	330.588	2385.2
152	2318	65511	-703	-295	40.63	338.568	2389.52
187	2351	65517	-701	-290	42.94	348.727	2387.69
189	2382	65529	-693	-286	44.99	364.862	2388.34
187	2415	65550	-681	-284	47.75	365.589	2392.98
184	2411	65575	-672	-281	49.26	363.251	2390.82
184	2365	65606	-663	-279	49.47	362.763	2388.98
186	2324	65645	-658	-277	50.22	365.424	2366.28
187	2283	65686	-656	-277	50.63	368.479	2348.73
179	2239	65732	-655	-276	50.34	369.91	2330.09
168	2221	65780	-653	-276	50.46	362.596	2263.06
167	2187	65831	-653	-276	50.76	355.404	2234.65
184	2156	65882	-654	-276	50.34	351.825	2176.12
210	2099	65930	-653	-276	49.99	358.499	2144.54
204	2064	65978	-654	-276	49.89	371.044	2106.51
205	2001	66025	-655	-276	50.32	362.136	2040.76
176	1965	66072	-656	-277	50.21	357.014	2010.12
169	1938	66121	-655	-276	50.09	353.41	1973.9
161	1901	66166	-655	-276	50.17	327.15	1888.91
162	1878	66217	-655	-276	50.03	319.543	1860.41
139	1845	66267	-655	-276	50.08	313.551	1830.01
136	1820	66317	-655	-276	49.76	301.86	1766.37
124	1765	66367	-655	-276	49.58	297.298	1737.09
125	1715	66416	-656	-277	49.25	289.099	1703.42
111	1666	66463	-657	-277	48.86	282.46	1603.01
122	1626	66511	-658	-277	48.92	270.977	1570.32
113	1526	66558	-659	-277	49.34	272.09	1535.36
98	1505	66604	-660	-278	49.57	259.642	1470.89
98	1471	66652	-658	-277	49.71	251.315	1442.2
83	1430	66700	-657	-277	50.03	246.88	1407.16
66	1379	66748	-656	-277	50.28	235.693	1353.5
69	1329	66796	-655	-276	49.77	219.403	1290.66
54	1294	66843	-654	-276	49.95	213.986	1257.85
61	1242	66892	-655	-276	49.86	199.955	1196.42
50	1150	66938	-656	-276	49.69	195.937	1133.51
63	1110	66983	-656	-276	50.29	191.92	1098.57
64	1065	67028	-656	-276	50.71	190.265	1067.21
40	984	67076	-654	-276	50.9	182.799	1039
63	949	67124	-653	-276	50.84	165.376	960.854
71	913	67172	-652	-275	50.85	166.065	916.518
74	871	67218	-652	-275	50.68	164.592	884.502
94	835	67263	-652	-275	50.73	156.836	821.992
98	800	67308	-652	-276	50.18	156.191	789.316
95	764	67354	-652	-275	50.4	152.461	756.997
85	732	67401	-654	-276	50.38	139.499	669.645
97	691	67452	-653	-276	50.33	130.635	641.272
92	645	67503	-653	-276	50.37	128.146	612.927
91	601	67553	-654	-276	50.25	121.475	551.495
77	552	67603	-653	-276	50.29	113.466	518.372
84	506	67653	-653	-276	50.28	108.946	488.569
68	459	67703	-653	-276	50.25	89.7176	390.994
44	407	67753	-653	-276	50.01	82.77	356.161
21	352	67803	-654	-276	50.31	71.7262	292.392
3	294	67851	-654	-276	50.26	65.2931	257.425
-4	248	67899	-653	-276	50.26	56.9452	220.467
-19	191	67949	-654	-276	50.64	47.6239	157.367
-35	150	67996	-654	-276	50.55	40.6901	121.729
-40	101	68043	-653	-276	50.43	31.4704	88.7431
-63	46	68089	-652	-275	50.07	15.2447	-2.00459
-86	3	68138	-652	-276	49.81	4.9869	-37.1402
-86	-37	68187	-654	-276	49.56	0.731256	-62.25
-96	-84	68235	-655	-276	50.06	-11.6877	-126.403
-104	-126	68235	-655	-276	50.35	-21.8384	-183.665
-102	-178	68330	-654	-276	49.94	-29.0991	-216.527
-113	-220	68382	-653	-276	50.3	-39.8634	-266.694
-108	-273	68427	-654	-276	50.34	-46.4995	-306.447
-105	-318	68452	-653	-276	50.15	-54.7688	-364.254
-109	-357	68463	-653	-276	50.09	-54.6532	-397.497
-122	-373	68460	-653	-276	50.2	-60.7021	-427.444
-141	-393	68457	-653	-276	50.21	-74.7389	-478.551
-148	-398	68457	-653	-276	50.2	-83.8678	-494.997
-146	-402	68457	-653	-276	49.63	-85.5134	-502.119
-131	-415	68457	-653	-276	48.81	-85.0331	-490.528
-136	-414	68456	-653	-276	50.18	-79.9981	-487.93
-155	-424	68455	-655	-277	55.18	-81.7017	-489.402
-139	-429	68454	-656	-276	60.71	-84.9243	-488.518
-152	-427	68453	-658	-271	66.41	-82.8381	-489.259
-148	-411	68453	-659	-266	71.25	-81.5799	-488.474
-172	-399	68453	-659	-260	76.93	-87.0425	-487.502
-175	-396	68451	-658	-255	82.05	-89.622	-481.952
-151	-398	68452	-659	-249	88.13	-90.0477	-486.019
-264	-393	68452	-659	-244	92.88	-85.324	-484.035
-273	-407	68453	-658	-239	96.06	-116.883	-484.812
-308	-421	68458	-655	-234	97.73	-117.63	-483.443
-327	-434	68469	-648	-231	100.63	-137.619	-483.575
-308	-446	68489	-637	-228	101.73	-146.49	-485.321
-297	-461	68522	-628	-226	102.67	-138.252	-489.468
-284	-476	68558	-624	-225	102.82	-131.365	-494.251
-271	-492	68602	-621	-224	102.76	-121.752	-497.009
-257	-524	68647	-621	-224	102.76	-104.085	-515.741
-243	-545	68691	-621	-224	102.76	-89.5935	-534.135
-214	-566	68736	-621	-224	102.88	-77.7061	-549.505
-171	-600	68780	-621	-224	103.53	-31.4999	-606.337
-130	-621	68825	-621	-224	103.89	-3.22373	-627.363
-93	-638	68872	-619	-223	104.22	34.5819	-667.633
-54	-658	68919	-618	-223	104.53	60.2613	-685.889
-26	-700	68967	-616	-223	103.94	99.5215	-725.712
11	-732	69014	-616	-222	104.02	122.369	-744.941
52	-759	69062	-617	-223	104.45	148.859	-762.606
82	-786	69107	-617	-223	103.86	190.665	-806.206
127	-811	69155	-616	-222	104.34	214.24	-826.519
187	-860	69203	-617	-223	104.36	229.551	-850.123
231	-867	69252	-616	-223	104.58	303.498	-907.179
281	-870	69302	-616	-223	104.99	331.713	-922.02
320	-890	69351	-616	-222	104.41	347.044	-947.345
343	-927	69399	-614	-222	104.23	403.015	-983.798
344	-971	69446	-616	-222	104.6	424.526	-1004.78
370	-997	69446	-616	-222	104.91	442.669	-1029.43
403	-1038	69544	-616	-223	104.88	498.967	-1093.37
430	-1083	69597	-615	-222	105.28	524.303	-1116.69
467	-1116	69638	-615	-222	105.86	563.745	-1164.78
504	-1167	69665	-613	-222	107.41	590.171	-1184.58
519	-1220	69682	-609	-221	112.29	615.516	-1209.14
525	-1248	69691	-605	-220	117.57	655.522	-1255.75
526	-1241	69692	-602	-216	122.39	672.429	-1275.95
534	-1244	69692	-601	-210	127.12	692.315	-1306.05
544	-1245	69691	-601	-205	129.97	700.13	-1307.26
543	-1251	69695	-599	-201	131.02	705.811	-1306.02
554	-1259	69706	-593	-198	132.55	707.891	-1302.64
562	-1289	69732	-586	-196	133.9	716.117	-1290.72
570	-1295	69761	-579	-194	134	716.704	-1287.1
577	-1299	69809	-577	-194	133.74	716.882	-1285.87
593	-1301	69852	-576	-193	133.91	742.33	-1279.71
618	-1305	69897	-577	-194	133.38	756.594	-1282.75
646	-1331	69942	-576	-193	133.33	775.294	-1284.18
671	-1359	69990	-578	-194	132.9	819.823	-1299.82
